informal,formal
ඔහේ,ඔබ
ඔයැ‍යි,ඔබ
ඒකි,ඇය
ඒකා,ඔහු
රස්සාව,රැකියාව
ගෑනි,ගැහැණිය
ඉස්කෝලය,පාසල
උත්තරය,පිළිතුර
ඇඩ්,වෙළද දැන්වීම
ඇත්ත,සත්ය
බේගල්,බොරු
කාරණේ,කාරණය
කවදාවත්,කෙදිනකවත්
හීනය,සිහිනය
ඇහැ,ඇස
නාහේ,නහය
කට,මුඛය
එවෙලෙ,ඒ වෙලාවෙම
ගෙදර,නිවස
කාණ්ඩේ,පිරිස
උඩහ,උඩ
පල්ලෙහා,පහළ
කලියෙන්,කලින්
පරක්කු,ප්‍රමාද
ඉවර,අවසාන
ආස,කැමති
ආයිමත්,නැවත
ආයෙමත්,නැවත
ආයෙ,නැවත
ඉදන්,සිට
ඉස්සරහ,ඉදිරිය
මැද්දෙන්,මැදින්
පස්සෙන්,පිටුපසින්
මූන,මුහුණ
නාහේ,නාසය
වාහේ,බිරිද
කෙනා,පුද්ගලයා
බෝමයි,බොහොමයි
චූටි,පොඩි
නට්ට,නටුව
කට්ට,කටුව
පොඩ්ඩ,කුඩා ප්‍රමාණය
හිච්ච,කුඩා ප්‍රමාණය
දොස්තර,වෛද්‍යවරයා
වැඩ්ඩා,දක්ෂයා
මේසන් බාස්,
හපනා,දක්ශයා
ජොලි,විනෝදජනක
කුස්සිය,මුලුතැන්ගෙය
ඇබින්ද,කුඩා ප්‍රමාණය
පච,බොරු
කෙබර,බොරු
සල්ලි,මුදල්
ලියුම,ලිපිය
මහා,ඉතා
මහ,ඉතා
ලොකු,විශාල
හුගක්,ගොඩක්
හුග,ලොකු
කට්ටිය,පිරිස
ඇග,ශරීරය
කෙලින්,සෘජු
ඔක්කොම,සියල්ල
කැලය,වනාන්තරය
අප්පුච්චා,පියා
අම්මණ්ඩි,මව
අත්තප්පා,සීයා
අප්පා,පියා
ඇහැකි,පුලුවන්
විදිය,ආකාරය
මක්කටෙයි,මොකටද
ඇහැක්ය,පුලුවන්ද
හින්නි,කුඩා
වෑවර,කුරුම්බා
පැපොල්,ගස්ලබු
හේරලි,කොස්
ඔයැ‍යි,ඔබ
මොටෝ,මොකද
කෝමෙයි,කොහොමද
මොනා,කුමක්
මොනාද,මොනවද
එව්වා,ඒවා
මෙව්වා,මේවා
සෑහෙන,විශාල
සෑහෙන්න,විශාල ප්‍රමාණයක්
ඕන්නෑ,අවශ්‍ය නැත
