Informal ,formal 
இரிங்க,இருங்கள்
வாங்க,வாருங்கள்
வாரேன்,வருகிறேன்
வாரான்,வருகிறான்
வாரால்,வருகிறாள்
வந்தாங்க,வந்தார்கள்
வாறாங்க,வருகிறார்கள்
வருவாங்க,வருவார்கள்
வந்தீங்க,வந்தீர்கள்
வாறீங்க,வருகிறீர்கள்
வருவீங்க,வருவீர்கள்
வந்திச்சி,வந்தது
வருது,வருகின்றது
போங்க,செல்லுங்கள்
போறாங்க,செல்கிறார்கள்
போரால்,செல்கிறாள்
போறான்,செல்கிறான்
போகுது,செல்கின்றது
போறேன்,செல்கிறேன்
பெய்தாங்க,சென்றனர்
போரொன்று,செல்வார்கள்
பெய்டிச்சி,சென்றது
பெய்திச்சி,சென்றது
பெய்ட்டேன்,சென்றேன்
பெய்த்தேன்,சென்றேன்
தாங்க,தாருங்கள்
தாரேன்,தருகிறேன்
தாரால்,தருகிறாள்
தாரான்,தருகிறான்
தந்தாங்க,தந்தார்கள்
தாராங்க,தருகிறார்கள்
தருவாங்க,தருவார்கள்
தந்தீங்க,தந்தீர்கள்
தருவீங்க,தருவீர்கள்
தாறீங்க,தருகின்றீர்கள்
தந்திச்சி,தந்தது
தருது,தருகின்றது
குடுங்க,கொடுங்கள்
குடுத்தேன்,கொடுத்தேன்
குடுக்குறேன்,கொடுக்கின்றேன்
குடுப்பேன்,கொடுப்பேன்
குடுத்தான்,கொடுத்தான்
குடுக்குறான்,கொடுக்கின்றான்
குடுப்பான்,கொடுப்பான்
குடுத்தாள்,கொடுத்தாள்
குடுக்குறாள்,கொடுக்கின்றாள்
குடுப்பால்,கொடுப்பாள்
குடுக்குறாங்க,கொடுக்கின்றார்கள்
குடுத்தாங்க,கொடுத்தார்கள்
குடுப்பாங்க,கொடுப்பார்கள்
குடுத்தீங்க,கொடுத்தீர்கள்
குடுக்குறீங்க,கொடுக்கின்றீர்கள்
குடுப்பீங்க,கொடுப்பீர்கள்
குடுத்திச்சி,கொடுத்தது
குடுக்குது,கொடுக்கின்றது
குடுக்கும்,கொடுக்கும்
தின்னுங்க,உண்ணுங்கள்
திண்டேன்,உண்டேன்
தின்றேன்,உண்ணுகிறேன்
தின்னுவேன்,உண்ணுவேன்
திண்டான்,உண்டான்
திண்டால்,உண்டாள்
தின்றான்,உண்ணுகிறான்
தின்றால்,உண்ணுகிறாள்
தின்னுவான்,உண்ணுவான்
தின்னுவாள்,உண்ணுவாள்
திண்டாங்க,உண்டார்கள்
தின்றாங்க,உண்ணுகிறார்கள்
தின்னுவாங்க,உண்ணுவார்கள்
திண்டீங்க,உண்டீர்கள்
தின்றீங்க,உண்ணுகிறீர்கள்
திண்ணுவீங்க,உண்ணுவீர்கள்
திண்டிச்சி,உண்டது
தின்னுது,உண்ணுகிறது
தின்னும்,உண்ணும்
உக்காருங்க,அமருங்கள்
உக்காந்தேன்,அமர்ந்தேன்
உக்காருறேன்,அமருகிறேன்
உக்காருவேன்,அமருவேன்
உக்காந்தான்,அமர்ந்தான்
உக்கார்றான்,அமருகிறான்
உக்காருவான்,அமருவான்
உக்காந்தாள்,அமர்ந்தாள்
உக்கார்றாள்,அமருகிறாள்
உக்காருவால்,அமருவாள்
உக்காந்தாங்க,அமர்ந்தனர்
உக்கார்றாங்க,அமர்கின்றனர்
உக்காருவாங்க,அமருவார்கள்
உக்காந்தீங்க,அமர்ந்தீர்கள்
உக்கார்றீங்க,அமருகின்றீர்கள்
உக்காருவீங்க,அமருவீர்கள்
