Noun,Verb,Replacement
දදය,ළෙලදෙන්න,කොඩිය
දදය,පැසවන්න,තුවාලය
දදය,රිදෙන්න,තුවාලය
දදය,පැහවන්න,තුවාලය
දදය,කසන්න,තුවාලය
දදය,හොද වෙන්න,තුවාලය
දදය,සුව වෙන්න,තුවාලය
දදය,වැක්කෙරෙන්න,තුවාලය
දදය,ගලන්න,තුවාලය
ඉර,පායන්න,සූර්‍ය්යා
ඉර,නැගෙන්න,සූර්‍ය්යා
ඉර,බහින්න,සූර්‍ය්යා
ඉර,බැසයන්න,සූර්‍ය්යා
ඉර,මුදුන් වෙන්න,සූර්‍ය්යා
ඉර,ඇහරෙන්න,සූර්යයා
ඉර,නිදාගන්න,සූර්‍ය්යා
ඉර,බැබළෙන්න,සූර්‍ය්යා
ඉර,දිදුලන්න,සූර්‍ය්යා
ඉර,පුපුරන්න,සූර්‍ය්යා
ඉර,පෙළගැසෙන්න,රේඛාව
ඉර,ඇවිදින්න,රේඛාව
ඉර,දුවන්න,රේඛාව
ඉර,යන්න,රේඛාව
ඉර,එලවන්න,රේඛාව
ඉර,පන්නන්න,රේඛාව
ඉර,පනින්න,රේඛාව
ඉර,හිටගන්න,රේඛාව
ඉර,වාඩිවෙන්න,රේඛාව
කුප්පිය,අරගන්න,කුප්පිය
කුප්පිය,ගන්න,කුප්පිය
කුප්පිය,ගෙනියන්න,කුප්පිය
කුප්පිය,රැගෙන යන්න,කුප්පිය
කුප්පිය,වහන්න,කුප්පිය
කුප්පිය,අරින්න,කුප්පිය
කුප්පිය,විකුනන්න,කුප්පිය
කුප්පිය,අළෙවි කරන්න,කුප්පිය
කුප්පිය,මිලදී ගන්න,කුප්පිය
කුප්පිය,බොන්න,කුප්පිය
කුප්පිය,යන්න,පුණරීක්ෂණ වැඩසටහන
කුප්පිය,සන්විධානය කරන්න,පුණරීක්ෂණ වැඩසටහන
කුප්පිය,උගන්නන්න,පුණරීක්ෂණ වැඩසටහන
කුප්පිය,ඉගෙන ගන්න,පුණරීක්ෂණ වැඩසටහන
කුප්පිය,කල් දමන්න,පුණරීක්ෂණ වැඩසටහන
කුප්පිය,කල් දාන්න,පුණරීක්ෂණ වැඩසටහන
කුප්පිය,අත්හිටුවන්න,පුණරීක්ෂණ වැඩසටහන
පඩිය,නගින්න,තරප්පු
පඩිය,බහින්න,තරප්පු
පඩි,බහින්න,තරප්පු
පඩිය,පනින්න,තරප්පු
පඩිය,වාඩිවෙන්න,තරප්පු
පඩිය,හිටගන්න,තරප්පු
පඩිය,නිදාගන්න,තරප්පු
පඩිය,වැටෙන්න,තරප්පු
පඩිය,වට්ටන්න,තරප්පු
