Verb,Noun,Replacement
එලවන්න,රියදුරු,පදවන්න
එලවන්න,වාහනේ,පදවන්න
එලවන්න,වාහනය,පදවන්න
එලවන්න,කාරය,පදවන්න
එලවන්න,ලොරිය,පදවන්න
එලවන්න,වෑන්,පදවන්න
එලවන්න,වෑනය,පදවන්න
එලවන්න,කාර්,පදවන්න
එලවන්න,කන්ටේනරය,පදවන්න
එලවන්න,ලොරි රථය,පදවන්න
එලවන්න,රථය,පදවන්න
එලවන්න,රියදුරා,පදවන්න
එලවන්න,පසුපසින්,එලවන්න
එලවන්න,පස්සෙන්,එලවන්න
එලවන්න,ගෙදර,නෙරපා හරින්න
එලවන්න,නිවස,නෙරපා හරින්න
එලවන්න,ඉඩම,නෙරපා හරින්න
එලවන්න,රට,නෙරපා හරින්න
එලවන්න,ගෙදරින්,නෙරපා හරින්න
එලවන්න,නිවසින්,නෙරපා හරින්න
එලවන්න,රටින්,නෙරපා හරින්න
එලවන්න,මෙහෙන්,නෙරපා හරින්න
එලවන්න,එහෙන්,නෙරපා හරින්න
එලෙව්වොත්,රියදුරු,පැදවුවොත්
එලෙව්වොත්,වාහනේ,පැදවුවොත්
එලෙව්වොත්,වාහනය,පැදවුවොත්
එලෙව්වොත්,කාරය,පැදවුවොත්
එලෙව්වොත්,ලොරිය,පැදවුවොත්
එලෙව්වොත්,වෑන්,පැදවුවොත්
එලෙව්වොත්,වෑනය,පැදවුවොත්
එලෙව්වොත්,කාර්,පැදවුවොත්
එලෙව්වොත්,කන්ටේනරය,පැදවුවොත්
එලෙව්වොත්,ලොරි රථය,පැදවුවොත්
එලෙව්වොත්,රථය,පැදවුවොත්
එලෙව්වොත්,රියදුරා,පැදවුවොත්
එලෙව්වොත්,පසුපස,එලෙව්වොත්
එලෙව්වොත්,පස්සෙන්,එලෙව්වොත්
එලෙව්වොත්,ගෙදර,නෙරපා හැරියොත්
එලෙව්වොත්,නිවස,නෙරපා හැරියොත්
එලෙව්වොත්,ඉඩම,නෙරපා හැරියොත්
එලෙව්වොත්,රට,නෙරපා හැරියොත්
එලෙව්වොත්,ගෙදරින්,නෙරපා හැරියොත්
එලෙව්වොත්,නිවසින්,නෙරපා හැරියොත්
එලෙව්වොත්,රටින්,නෙරපා හැරියොත්
එලෙව්වොත්,මෙහෙන්,නෙරපා හැරියොත්
එලෙව්වොත්,එහෙන්,නෙරපා හැරියොත්
වැහෙන්න,හොල්මන,ආරූඪ වෙන්න
වැහෙන්න,හොල්මන්,ආරූඪ වෙන්න
වැහෙන්න,යකා,ආරූඪ වෙන්න
වැහෙන්න,යක්කු,ආරූඪ වෙන්න
වැහෙන්න,පෙරේතයා,ආරූඪ වෙන්න
වැහෙන්න,බූතයා,ආරූඪ වෙන්න
වැහෙන්න,ආත්මය,ආරූඪ වෙන්න
වැහෙන්න,ප්‍රේත,ආරූඪ වෙන්න
වැහෙන්න,මියගිය,ආරූඪ වෙන්න
වැහෙන්න,මැරුණු,ආරූඪ වෙන්න
වැහෙන්න,මැරිච්ච,ආරූඪ වෙන්න
වැහෙන්න,දොර,වැහෙන්න
වැහෙන්න,ගේට්ටුව,වැහෙන්න
වැහෙන්න,ගොඩනැගිල්ල,වැහෙන්න
වැහෙන්න,ආයතනය,වැහෙන්න
වැහුණු,හොල්මන,ආරූඪ වුණු
වැහුණු,හොල්මන්,ආරූඪ වුණු
වැහුණු,යකා,ආරූඪ වුණු
වැහුණු,යක්කු,ආරූඪ වුණු
වැහුණු,පෙරේතයා,ආරූඪ වුණු
වැහුණු,බූතයා,ආරූඪ වුණු
වැහුණු,ආත්මය,ආරූඪ වුණු
වැහුණු,ප්‍රේත,ආරූඪ වුණු
වැහුණු,මියගිය,ආරූඪ වුණු
වැහුණු,මැරුණු,ආරූඪ වුණු
වැහුණු,මැරිච්ච,ආරූඪ වුණු
වැහුණු,දොර,වැහුණු
වැහුණු,ගේට්ටුව,වැහුණු
වැහුණු,ගොඩනැගිල්ල,වැහුණු
වැහුණු,ආයතනය,වැහුණු
වැහිච්ච,හොල්මන,ආරූඪ වුණු
වැහිච්ච,හොල්මන්,ආරූඪ වුණු
වැහිච්ච,යකා,ආරූඪ වුණු
වැහිච්ච,යක්කු,ආරූඪ වුණු
වැහිච්ච,පෙරේතයා,ආරූඪ වුණු
වැහිච්ච,බූතයා,ආරූඪ වුණු
වැහිච්ච,ආත්මය,ආරූඪ වුණු
වැහිච්ච,ප්‍රේත,ආරූඪ වුණු
වැහිච්ච,මියගිය,ආරූඪ වුණු
