Noun,Verb,Replacement
கல்,அடித்தல்,கல்
கல்,செதுக்குதல்,கல்
கல்,வீசுதல்,கல்
கல்,சேகரித்தல்,கல்
கல்,அருந்தினான்,மதுபானம்
கல்,அருந்தினாள்,மதுபானம்
கட,மூடுதல்,கடை
கட,திறத்தல்,கடை
மஞ்சள்,போட்டு சமைத்தல்,மஞ்சத்தூள்
மஞ்சள்,வண்ணம் தீட்டுதல்,மஞ்சள் நிறம்
மஞ்சள்,தீட்டி,மஞ்சள் நிறம்
மஞ்சள்,காயவைத்தார்,மஞ்சத்தூளை
பொருள்,தேடல்,அர்த்தம்
பொருள்,தூக்குதல்,பொருள்
பொருள்,தேடினேன்,அர்த்தம்
வாசம்,அனுபவித்தல்,மணம்
வாசத்தை,அனுபவித்தாள்,மணத்தை
வாசம்,புகுருத்தல்,வீடு
நெருக்கம்,எற்பட்டது,ஆர்வம்
நெருக்கம்,வந்தது,ஆர்வம்
நெருக்கத்தோடு,இருக்கின்றேன்,மன அழுத்தத்தோடு
நெருக்கத்தோடு,இருக்கின்றான்,மன அழுத்தத்தோடு
நெருக்கத்தோடு,இருக்கின்றாள்,மன அழுத்தத்தோடு
நெருக்கத்தில்,இருக்கின்றேன்,மன அழுத்தத்தில்
நெருக்கத்தில்,இருக்கின்றான்,மன அழுத்தத்தில்
நெருக்கத்தில்,இருக்கின்றாள்,மன அழுத்தத்தில்
நெருக்கமா,இருக்கின்றான்,மன அழுத்தமா
கால்,தீக்கோழி,கால்
கால்,அளவில் வெட்டப்பட்டது,கால்
பாதியாக,வெட்டப்பட்டது,அரைவாசியாக
பாதி,பாடினான்,பாடல்
முதல்,இடத்தை பெற்றான்,முதலாம்
முதல்,சேமித்தான்,பணம்
மாலை,காணப்படுகின்றது,அந்திமாலை
மாலை,சூடினாள்,மாலை
மாலை,வாங்கினான்,பூமாலை
பார்,வட்டமானது,உலகம்
வண்ணம்,தீட்டினான்,நிறம்
வண்ணம்,அணிந்திருந்தான்,அழகு
படம்,வரைந்தான்,சித்திரம்
படம்,பார்த்தான்,திரைப்படம்
தொடர்,கதைதான்,தொடர்ந்து
படி,எடையிடப்படுகின்றது,அளவுகோல்
படி,ஏறமுடியாது,படிக்கட்டு
பக்கவாதம்,நோய்வாய்ப்பட்டார்,பக்கவாதம்
பக்கவாதம்,பேசினார்,பாரபட்சமாக
பகட்டு,சீரழிக்கும்,ஆடம்பரம்
ககம்,உண்டேன்,மாம்பழம்
ககம்,வணங்கினோம்,கடவுள்
ககம்,எய்தினான்,அம்பு
ஆடு,உண்டேன்,ஆடு
பாய்,விரித்தான்,பாய்
பாய்,விதிக்கப்பட்டது,பாய்
பாய்,வாங்கினான்,பாய்
நீர்,குடித்தான்,தண்ணீர்
நீர்,ஊற்றினாள்,தண்ணீர்
நீர்,உண்மையான்,நீர்
முயல்,துள்ளியது,முயல்
முயல்,ஓடியது,முயல்
முயல்,வெள்ளையானது,முயல்
முயல்,வெற்றிக்கு உதவும்,முயற்சி
முயல்,வேண்டும்,முயற்சி
விடை,பெற்றான்,விடை பெறுதல்
விடை,சரியானது,பதில்
மாலை,நேரம் அழகானது,மாலை
மாலை,சூடினாள்,பூமாலை
அன்னம்,உண்டார்கள்,உணவு
அன்னம்,வழங்கினார்கள்,உணவு
அன்னம்,பரிமாறப்பட்டது,உணவு
அன்னம்,வாங்கினான்,உணவு
அன்னம்,சமைத்தனர்,உணவு
அன்னம்,வெள்ளையானது,வாத்து
அன்னம்,கண்டேன்,வாத்து
அன்னங்கள்,கண்டேன்,வாத்துக்கள்
மெய்,வெல்லும்,உண்மை
மெய்,நீடிக்கும்,உண்மை
மெய்,வடிவானது,உடம்பு
மெய்,பராமரித்தல்,உடம்பு
தாள்,வழங்கப்பட்டது,தாள்
தாள்,சுத்தமானது,பாதம்
நூல்,நூற்கப்பட்டது,நூல்
நூல்,பல நிறங்களில் விற்கப்பட்டது,நூல்
நூல்,நெய்தார்கள்,நூல்
நூல்,வாசித்தான்,புத்தகம்
நூல்,வாங்கினான்,புத்தகம்
நூல்,பெற்றான்,புத்தகம்
திங்கள்,விடுமுறை வழங்கப்பட்டது,திங்கட் கிழமை
திங்கள்,பிராகசமளித்தது,நிலா
திங்கள்,அழகாகத் தெரிந்தது,நிலவு
முடி,உதிர்த்தது,மயிர்
முடி,விரித்தாள்,கூந்தல்
முடி,அழகானது,கூந்தல்
முடி,நீளமானது,முடி
முடி,பெற்றது,நிறைவு
இடை,புகுந்தான்,மத்தியில்
இடை,வடிவானது,இடை
இடை,மென்மையானது,இடுப்பு
இடை,அழகானது,இடுப்பு
கால்,உடைந்தது,கால்
கால்,நீளமானது,கால்
கால்,மணிநேரமாக காணவில்லை,கால்
அடி,பலமாக இருந்தது,அடி
அடி,வாங்கினான்,அடி
அடி,தேய்ந்தது,பாதம்
தை,பிறந்தது,தை மாதம்
தை,விடுமுறை வழங்கப்பட்டது,தை மாதம்
தை,முடிக்கப்பட்டது,தையல்
இடம்,பெயர்ந்தார்கள்,இடம்
இடம்,விற்கப்பட்டது,நிலம்
இடம்,வாங்கப்பட்டது,நிலம்
இடம்,பக்கம் சென்றன,இடது
உடு,மின்னியது,நட்சத்திரம்
உடு,அழகாய் தெரிந்தது,நட்சத்திரம்
அரவம்,கடித்தது,பாம்பு
அரவம்,ஓடியது,பாம்பு
அரவம்,கேட்டது,ஓசை
அரவம்,வந்தது,ஓசை
அரி,பாய்ந்தது,சிங்கம்
அரி,கர்ச்சித்தது,சிங்கம்
அரி,வேட்டை ஆடியது,சிங்கம்
அரி,ரீங்காரமிட்டது,வண்டு
அரி,பறந்தது,வண்
நகை,அணிந்திருந்தாள்,ஆபரணம்
நகை,வாங்கினாள்,ஆபரணம்
நகை,பரிசளித்தாள்,ஆபரணம்
நகை,அழகானது,சிரிப்பு
கரி,பெரியது,யானை
கரி,உணவு உண்டது,யானை
கரி,எரிந்தது,விறகுக்கரி
மதி,பிரகாசமளித்தது,சந்திரன்
மதி,தேய்ந்தது,சந்திரன்
மதி,குறைவானது,புத்தி
மதி,மழுங்கியது,புத்தி
வடு,நீங்கியது,தழும்பு
வடு,ஏற்பட்டது,தழும்பு
வடு,ஆரியது,காயம்
வடு,மறைந்தது,காயம்
கலம்,நிறுத்தப்பட்டது,கப்பல்
கலம்,கரை ஒதுங்கியது,கப்பல்
கலம்,அணிந்தினர்,ஆபரணம்
கலம்,வாங்கினாள்,ஆபரணம்
அளி,அருந்தினர்,மது
அளி,சேகரிக்கப்பட்டது,தேன்
அளி,கடித்தது,தேன்
அம்பு,மரம் விழுந்தது,மூங்கில்
அம்பு,வெட்டினர்,மூங்கில்
அம்பு,கறுத்தது,மேகம்
ஆவி,பிரிந்தது,உயிர்
ஆவி,வீசியது,வாசனை
ஆவி,நுகர்ந்தான்,வாசனை
ஆவி,நிரம்பியது,குளம்
ஆவி,வற்றியது,குளம்
அகம்,தெளிவானது,உள்ளம்
அகம்,சுத்தமானது,உள்ளம்
அகம்,கட்டப்பட்டது,மனை
பரி,கொண்டவன்,அன்பு
பரி,செலுத்தினான்,அன்பு
பரி,வேகமாக ஓடியது,குதிரை
பரி,வளர்க்கின்றனர்,குதிரை
ஐயம்,கொண்டான்,சந்தேகம்
ஐயம்,தீங்கு விளைவிக்கும்,சந்தேகம்
ஐயம்,கேட்டு வந்தான்,பிச்சை
கவி,பாடப்பட்டது,பாட்டு
கவி,பாடினான்,புலவன்
கவி,தாவியது,குரங்கு
கோ,பால் கரக்கப்பட்டது,பசு
கோ,நாட்டை ஆழ்ந்தான்,அரசன்
கோ,ஆணையிட்டான்,அரசன்
பணி,சீரியது,பாம்பு
பணி,கடித்தது,பாம்பு
பணி,பிரப்பிக்கப்பட்டது,கட்டளை
பணி,செய்தான்,தொண்டு
பாவை,அழகானவள்,பெண்
பாவை,வாங்கினேன்,பொம்மை
ஆழி,சுழன்றது,சக்கரம்
ஆழி,விற்றான்,மோதிரம்
ஆழி,அலை பலமானது,கடல்
ஆடி,உடைந்தது,கண்ணாடி
ஆடி,சிறப்பானது,ஆடிமாதம்
முடி,சூட்டினர்,மகுடம்
முடி,வெட்டப்பட்டது,முடி
அமர்,தோல்வியுற்றது,போர்
அமர்,நிறுத்தப்பட்டது,போர்
அமர்,தாண்டினான்,மதில்
அமர்,கட்டினார்,மதில்
திரு,பொருந்தியவள்,அழகு
திரு,நிறைந்த மனிதன்,செல்வம்
ஆலம்,பொழிந்தது,மழை
ஆலம்,குடித்தான்,நஞ்சு
ஆலம்,நிறைக்கப்பட்டது,நீர்
அரவம்,சீரியது,பாம்பு
அரவம்,கேட்டது,ஓசை
அரவம்,ஒழித்தது,ஓசை
கறை,ஏற்பட்டது,மாசு
கறை,துடைத்தார்கள்,மாசு
கறை,சுமத்தப்பட்டது,குற்றம்
கறை,நிரூபிக்கப்பட்டது,குற்றம்
கண்டம்,ஏற்பட்டது,ஆபத்து
கண்டம்,வலி அதிகரித்தது,கழுத்து
இழை,ஜொலித்தது,ஆபரணம்
இழை,தொலைந்தது,ஆபரணம்
இழை,வாங்கினேன்,நூல்
வளை,ஒலித்தது,சங்கு
வளை,ஊதினான்,சங்கு
வளை,உடைக்கப்பட்டது,புற்று
வளை,அணிந்தேன்,வளையல்
வடு,ஆரியது,காயம்
வடு,ஏற்பட்டது,காயம்
வடு,நீங்கியது,தழும்பு
கலை,அரங்கேற்றப்பட்டது,வித்தை
கலை,கொண்டவன்,வித்தை
கலை,துள்ளி ஓடியது,மான்
கலை,சாப்பிட்டேன்,மான்
அரை,கிடைத்தது,பாதி
அரை,கொடுத்தான்,பாதி
அரை,வலி ஏற்பட்டது,இடுப்பு
ஏடு,படித்தான்,புத்தகம்
ஏடு,பரிசளிக்கப்பட்டது,புத்தகம்
பால்,குடித்தான்,பால்
பால்,விற்கப்பட்டது,பால்
