Verb,Noun,Replacement
கட்டி,தந்தை,அணைத்து
படி,மாணவர்கள்,பயிலு
ஆடு,நான்,நடனம்
ஆடு,அவள்,நடனம்
ஆடு,அவன்,நடனம்
நாடு,வைத்தியரை,தேடுவர்
பார்,நான்,நோக்கு
பார்,என்னை,நோக்கு
பார்,அவர்களை,நோக்கு
பார்,அவன்,நோக்கு
பார்,இவன்,நோக்கு
நடு,விவசாயி,விதை
நடு,தோட்டக்காரன்,விதை
நடு,அவன்,விதை
நடு,அப்பா,விதை
நடு,அண்ணா,விதை
நகை,சிறுமி,சிரி
நகை,குழந்தை,சிரி
நகை,தாய்,சிரி
நகை,முதியவர்,சிரி
நகை,தம்பி,சிரி
சென்றான்,மாணவன்,நகர்த்தான்
சென்றது,பேருந்து,நகர்ந்தது
சென்றது,வாகனம்,நகர்ந்தது
சென்றது,கப்பல்,நகர்ந்தது
சென்றது,கார்,நகர்ந்தது
அளித்தான்,பணம்,கொடுத்தான்
அளித்தான்,உணவு,கொடுத்தான்
அளித்தான்,பானகம்,கொடுத்தான்
அளித்தான்,பரிசு,கொடுத்தான்
அளித்தான்,பதக்கம்,கொடுத்தான்
இரை,மணி,ஒலி
இரை,சிறுவன்,ஒலி
இரை,அவன்,ஒலி
இரை,நான்,ஒலி
இரை,கருவி,ஒலி
சோதி,அவன்,ஆராய்தல்
சோதி,ஆராய்ச்சியாளர்,ஆராய்தல்
சோதி,மாணவன்,ஆராய்தல்
சோதி,ஆசிரியர்,ஆராய்தல்
சோதி,அண்ணா,ஆராய்தல்
அலை,நான்,திரி
அலை,ஆசிரியர்,திரி
அலை,மாணவர்கள்,திரி
அலை,பயணிகள்,சுற்று
அலை,வெளிநாட்டவர்கள்,சுற்று
அணி,அவள்,உடு
அணி,அம்மா,உடு
அணி,அக்கா,உடு
அணி,ஆடை,உடு
அணி,நண்பி,உடு
உரை,வைத்தியர்,கூறு
உரை,பொலிஸ்,கூறு
உரை,அதிபர்,கூறு
உரை,ஆசிரியர்,கூறு
உரை,புலவர்,கூறு
உடை,கண்ணாடி,சிதை
உடை,சிலை,சிதை
உடை,கட்டிடம்,சிதை
உடை,பொருட்கள்,சிதை
உடை,கூரை,சிதை
எண்,நான்,நினை
எண்,அப்பா,நினை
எண்,அம்மா,நினை
எண்,காதலன்,நினை
எண்,பையன்,நினை
ஆள்,அரசன்,ஆட்சி
ஆள்,ஜனாதிபதி,ஆட்சி
ஆள்,அதிபர்,ஆட்சி
அளித்தாள்,பணம்,கொடுத்தாள்
அளித்தாள்,உணவு,கொடுத்தாள்
அளித்தாள்,பானகம்,கொடுத்தாள்
அளித்தாள்,பரிசு,கொடுத்தாள்
அளித்தாள்,பதக்கம்,கொடுத்தாள்
ஆள்,பிரதமர்,ஆட்சி
ஆள்,தலைவர்,ஆட்சி
இழை,ஓலை,பின்னு
இழை,கிடுகு,பின்னு
இழை,கூரை,பின்னு
இழை,முடி,பின்னு
இழை,கயிறு,பின்னு
இசை,அவன்,பாடு
இசை,அக்கா,பாடு
இசை,பாட்டு,பாடு
இசை,சங்கீதம்,பாடு
இசை,பாட்டி,பாடு
நாடு,பூனை,தேடு
நாடு,முயல்,தேடு
நாடு,புத்தகம்,தேடு
நாடு,அவன்,தேடு
நாடு,அக்கா,தேடு
அமர்ந்தான்,தம்பி,உட்கார்ந்தான்
அமர்ந்தான்,அண்ணா,உட்கார்ந்தான்
அமர்ந்தான்,பாட்டி,உட்கார்ந்தான்
அமர்ந்தான்,தம்பி,உட்கார்ந்தான்
அமர்ந்தான்,அவன்,உட்கார்ந்தான்
பாடு,அவள்,இசை
பாடு,நண்பி,இசை
பாடு,காதலி,இசை
பாடு,அவன்,இசை
பாடு,தங்கை,இசை
கேள்,மாணவர்கள்,செவிமடு
கேள்,நாங்கள்,செவிமடு
கேள்,நண்பர்கள்,செவிமடு
கேள்,சிறுவர்கள்,செவிமடு
கேள்,மக்கள்,செவிமடு
ஆரம்பி,அது,தொடரு
ஆரம்பி,விளையாட்டு,தொடரு
ஆரம்பி,நிகழ்ச்சி,தொடரு
ஆரம்பி,பாட்டு,தொடரு
ஆரம்பி,நடனம்,தொடரு
கதை,அவன்,பேசு
கதை,கிளி,பேசு
கதை,மைனா,பேசு
கதை,அதிபர்,பேசு
கதை,ஆசிரியர்,பேசு
உளவு,உளவாளி,ஆராய்
உளவு,பொலிஸ்,ஆராய்
உளாவினான்,திருடன்,ஆராய்ந்தான்
உளவு,அவன்,ஆராய்
உளவு,பெரியவர்,ஆராய்
ஆணை,அதிபர்,கட்டளை
ஆணை,நீதிபதி,கட்டளை
ஆணை,அரசன்,கட்டளை
ஆணை,அப்பா,கட்டளை
ஆணை,போதகர்,கட்டளை
உபதேசம்,ஆசிரியர்,போதனை
உபதேசம்,போதகர்,போதனை
உபதேசம்,புலவர்,போதனை
உபதேசம்,அறிவாளி,போதனை
உபதேசம்,பாகவதர்,போதனை
ஒடுக்குதல்,மக்கள்,அடக்குதல்
ஒடுக்குதல்,சிறுவர்கள்,அடக்குதல்
ஒடுக்குதல்,கைதிகள்,அடக்குதல்
ஒடுக்குதல்,போர்,அடக்குதல்
ஒடுக்குதல்,போராட்டம்,அடக்குதல்
களிப்பு,மாணவர்கள்,மகிழ்ச்சி
களிப்பு,குழந்தைகள்,மகிழ்ச்சி
களிப்பு,நாய்,மகிழ்ச்சி
களிப்பு,அம்மா,மகிழ்ச்சி
களிப்பு,அப்பா,மகிழ்ச்சி
சிந்தனை,அவள்,நினைவு
சிந்தனை,அம்மா,நினைவு
